AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
1,2003,0,0,12000,25740
2,2003,0,0,10000,27388
3,2003,0,0,9000,27697
4,2003,2,0,9000,26467
5,2003,0,0,8000,27886
6,2003,1,0,8000,27523
7,2003,1,0,6000,24169
8,2003,1,0,6000,21847
9,2003,4,0,6000,21708
10,2003,6,0,6000,19425
11,2003,12,0,5000,15669
12,2003,25,0,4000,10988
13,2003,16,0,4000,8609
14,2003,18,0,3000,6853
15,2003,33,0,2000,6060
16,2003,15,0,1000,4129
17,2003,12,0,1000,3144
1,2004,0,0,12000,25627
2,2004,0,0,10000,27066
3,2004,0,0,9000,27963
4,2004,0,0,9000,27137
5,2004,0,0,8000,28182
6,2004,0,0,8000,27560
7,2004,0,0,6000,25121
8,2004,0,0,6000,21889
9,2004,2,0,6000,22224
10,2004,8,0,6000,19800
11,2004,10,0,5000,16677
12,2004,21,0,4000,11528
13,2004,32,0,4000,8834
14,2004,32,0,3000,6962
15,2004,25,0,2000,5961
16,2004,15,0,1000,4387
17,2004,17,0,1000,3353
1,2005,0,0,12000,25552
2,2005,0,0,10000,26747
3,2005,0,0,9000,27987
4,2005,0,0,9000,27977
5,2005,0,0,8000,28462
6,2005,1,0,8000,27539
7,2005,1,0,6000,25990
8,2005,0,0,6000,22112
9,2005,4,0,6000,22565
10,2005,5,0,6000,20159
11,2005,22,0,5000,17570
12,2005,21,0,4000,12191
13,2005,25,0,4000,9094
14,2005,25,0,3000,7109
15,2005,28,0,2000,5855
16,2005,18,0,1000,4589
17,2005,13,0,1000,3599
1,2006,0,0,12000,25537
2,2006,0,0,10000,26477
3,2006,0,0,9000,27847
4,2006,0,0,9000,28868
5,2006,0,0,8000,28754
6,2006,0,0,8000,27583
7,2006,1,0,6000,26699
8,2006,1,0,6000,22599
9,2006,3,0,6000,22675
10,2006,10,0,6000,20609
11,2006,13,0,5000,18210
12,2006,16,0,4000,13053
13,2006,32,0,4000,9399
14,2006,35,0,3000,7279
15,2006,30,0,2000,5769
16,2006,26,0,1000,4706
17,2006,25,0,1000,3880
1,2007,0,0,12000,25792
2,2007,0,0,10000,26260
3,2007,0,0,9000,27609
4,2007,0,0,9000,29594
5,2007,0,0,8000,29163
6,2007,0,0,8000,27755
7,2007,0,0,6000,27229
8,2007,0,0,6000,23282
9,2007,8,0,6000,22613
10,2007,13,0,6000,21130
11,2007,10,0,5000,18714
12,2007,26,0,4000,13952
13,2007,38,0,4000,9804
14,2007,34,0,3000,7435
15,2007,22,0,2000,5740
16,2007,15,0,1000,4755
17,2007,26,0,1000,4187
1,2008,0,0,12000,26290
2,2008,0,0,10000,26078
3,2008,0,0,9000,27315
4,2008,0,0,9000,30061
5,2008,0,0,8000,29771
6,2008,1,0,8000,28056
7,2008,0,0,6000,27543
8,2008,0,0,6000,24143
9,2008,2,0,6000,22513
10,2008,9,0,6000,21711
11,2008,10,0,5000,19061
12,2008,18,0,4000,14887
13,2008,18,0,4000,10259
14,2008,27,0,3000,7590
15,2008,30,0,2000,5770
16,2008,21,0,1000,4733
17,2008,28,0,1000,4506
1,2009,0,0,12000,26948
2,2009,0,0,10000,25864
3,2009,0,0,9000,26940
4,2009,0,0,9000,30306
5,2009,0,0,8000,30555
6,2009,0,0,8000,28373
7,2009,0,0,6000,27608
8,2009,1,0,6000,25112
9,2009,2,0,6000,22534
10,2009,1,0,6000,22205
11,2009,10,0,5000,19342
12,2009,23,0,4000,15836
13,2009,33,0,4000,10729
14,2009,21,0,3000,7766
15,2009,21,0,2000,5848
16,2009,27,0,1000,4669
17,2009,31,0,1000,4832
1,2010,0,0,12000,27766
2,2010,0,0,10000,25687
3,2010,0,0,9000,26565
4,2010,0,0,9000,30279
5,2010,0,0,8000,31506
6,2010,0,0,8000,28680
7,2010,0,0,6000,27618
8,2010,0,0,6000,26008
