AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
1,2003,0,0,12000,13818
2,2003,0,0,10000,14379
3,2003,0,0,9000,14672
4,2003,0,0,9000,12378
5,2003,0,0,8000,10994
6,2003,0,0,8000,12517
7,2003,0,0,6000,11749
8,2003,1,0,6000,11187
9,2003,3,0,6000,10676
10,2003,4,0,6000,9443
11,2003,3,0,5000,7404
12,2003,5,0,4000,5002
13,2003,9,0,4000,3344
14,2003,4,0,3000,2408
15,2003,14,0,2000,1914
16,2003,6,0,1000,1234
17,2003,3,0,1000,957
1,2004,0,0,12000,13676
2,2004,0,0,10000,14123
3,2004,0,0,9000,14742
4,2004,0,0,9000,12656
5,2004,0,0,8000,11060
6,2004,0,0,8000,12476
7,2004,0,0,6000,12173
8,2004,0,0,6000,11135
9,2004,4,0,6000,10863
10,2004,4,0,6000,9571
11,2004,4,0,5000,7894
12,2004,4,0,4000,5258
13,2004,3,0,4000,3485
14,2004,13,0,3000,2496
15,2004,17,0,2000,1933
16,2004,7,0,1000,1338
17,2004,9,0,1000,1037
1,2005,0,0,12000,13549
2,2005,0,0,10000,13874
3,2005,0,0,9000,14683
4,2005,0,0,9000,13005
5,2005,0,0,8000,11123
6,2005,0,0,8000,12407
7,2005,0,0,6000,12556
8,2005,0,0,6000,11178
9,2005,3,0,6000,10962
10,2005,5,0,6000,9700
11,2005,3,0,5000,8335
12,2005,7,0,4000,5575
13,2005,5,0,4000,3637
14,2005,7,0,3000,2601
15,2005,9,0,2000,1941
16,2005,7,0,1000,1427
17,2005,7,0,1000,1128
1,2006,0,0,12000,13464
2,2006,0,0,10000,13651
3,2006,0,0,9000,14540
4,2006,0,0,9000,13353
5,2006,0,0,8000,11188
6,2006,0,0,8000,12374
7,2006,0,0,6000,12864
8,2006,2,0,6000,11358
9,2006,7,0,6000,10949
10,2006,5,0,6000,9864
11,2006,3,0,5000,8659
12,2006,14,0,4000,5985
13,2006,11,0,4000,3803
14,2006,9,0,3000,2708
15,2006,12,0,2000,1960
16,2006,11,0,1000,1490
17,2006,14,0,1000,1232
1,2007,0,0,12000,13531
2,2007,0,0,10000,13452
3,2007,0,0,9000,14340
4,2007,0,0,9000,13613
5,2007,0,0,8000,11297
6,2007,0,0,8000,12400
7,2007,0,0,6000,13092
8,2007,0,0,6000,11631
9,2007,1,0,6000,10858
10,2007,1,0,6000,10066
11,2007,9,0,5000,8919
12,2007,5,0,4000,6412
13,2007,11,0,4000,4014
14,2007,5,0,3000,2808
15,2007,8,0,2000,1989
16,2007,9,0,1000,1530
17,2007,15,0,1000,1344
1,2008,0,0,12000,13715
2,2008,0,0,10000,13279
3,2008,0,0,9000,14113
4,2008,0,0,9000,13748
5,2008,0,0,8000,11479
6,2008,0,0,8000,12479
7,2008,0,0,6000,13209
8,2008,0,0,6000,11991
9,2008,4,0,6000,10757
10,2008,3,0,6000,10297
11,2008,7,0,5000,9100
12,2008,7,0,4000,6854
13,2008,14,0,4000,4248
14,2008,14,0,3000,2910
15,2008,12,0,2000,2045
16,2008,14,0,1000,1547
17,2008,9,0,1000,1464
1,2009,0,0,12000,13985
2,2009,0,0,10000,13088
3,2009,0,0,9000,13847
4,2009,0,0,9000,13784
5,2009,1,0,8000,11728
6,2009,0,0,8000,12578
7,2009,0,0,6000,13207
8,2009,1,0,6000,12404
9,2009,2,0,6000,10716
10,2009,5,0,6000,10486
11,2009,5,0,5000,9250
12,2009,8,0,4000,7295
13,2009,16,0,4000,4484
14,2009,12,0,3000,3019
15,2009,6,0,2000,2114
16,2009,12,0,1000,1545
17,2009,15,0,1000,1585
1,2010,0,0,12000,14330
2,2010,0,0,10000,12914
3,2010,0,0,9000,13585
4,2010,0,0,9000,13706
5,2010,0,0,8000,12039
6,2010,0,0,8000,12667
7,2010,0,0,6000,13175
8,2010,0,0,6000,12774
9,2010,1,0,6000,10770
10,2010,3,0,6000,10588
11,2010,4,0,5000,9395
12,2010,5,0,4000,7691
13,2010,15,0,4000,4766
14,2010,6,0,3000,3139
15,2010,9,0,2000,2196
16,2010,7,0,1000,1543
17,2010,11,0,1000,1700
1,2011,0,0,12000,14621
2,2011,0,0,10000,12779
3,2011,0,0,9000,13354
4,2011,0,0,9000,13564
5,2011,0,0,8000,12386
6,2011,0,0,8000,12784
7,2011,0,0,6000,13189
8,2011,1,0,6000,13079
9,2011,0,0,6000,10955
10,2011,3,0,6000,10586
11,2011,10,0,5000,9586
12,2011,5,0,4000,7980
13,2011,4,0,4000,5139
14,2011,14,0,3000,3275
15,2011,13,0,2000,2285
16,2011,10,0,1000,1544
17,2011,11,0,1000,1806
1,2012,0,0,12000,14715
2,2012,0,0,10000,12791
3,2012,0,0,9000,13150
4,2012,0,0,9000,13378
5,2012,0,0,8000,12670
6,2012,0,0,8000,12960
7,2012,0,0,6000,13268
8,2012,0,0,6000,13303
9,2012,1,0,6000,11233
10,2012,6,0,6000,10509
11,2012,9,0,5000,9810
12,2012,10,0,4000,8204
13,2012,3,0,4000,5529
14,2012,4,0,3000,3456
15,2012,13,0,2000,2363
16,2012,12,0,1000,1557
17,2012,17,0,1000,1898
1,2013,0,0,12000,14716
2,2013,0,0,10000,12909
3,2013,0,0,9000,12958
4,2013,0,0,9000,13161
5,2013,0,0,8000,12881
6,2013,0,0,8000,13300
7,2013,0,0,6000,13457
8,2013,1,0,6000,13450
9,2013,0,0,6000,11601
10,2013,2,0,6000,10424
11,2013,9,0,5000,10062
12,2013,7,0,4000,8355
13,2013,7,0,4000,5931
14,2013,10,0,3000,3650
15,2013,10,0,2000,2446
16,2013,8,0,1000,1593
17,2013,7,0,1000,1973
1,2014,0,0,12000,14641
2,2014,0,0,10000,13126
3,2014,0,0,9000,12768
4,2014,0,0,9000,12930
5,2014,0,0,8000,13047
6,2014,1,0,8000,13790
7,2014,1,0,6000,13733
8,2014,0,0,6000,13521
9,2014,0,0,6000,12049
10,2014,7,0,6000,10404
11,2014,10,0,5000,10284
12,2014,7,0,4000,8489
13,2014,13,0,4000,6343
14,2014,13,0,3000,3851
15,2014,9,0,2000,2537
16,2014,13,0,1000,1632
17,2014,17,0,1000,2039
1,2015,0,0,12000,14560
2,2015,0,0,10000,13380
3,2015,0,0,9000,12600
4,2015,0,0,9000,12707
5,2015,0,0,8000,13059
6,2015,0,0,8000,14288
7,2015,0,0,6000,13968
8,2015,0,0,6000,13549
9,2015,0,0,6000,12444
10,2015,3,0,6000,10478
11,2015,10,0,5000,10414
12,2015,11,0,4000,8609
13,2015,14,0,4000,6711
14,2015,4,0,3000,4098
15,2015,9,0,2000,2638
16,2015,6,0,1000,1685
17,2015,13,0,1000,2096
1,2003,0,1,12000,6856
2,2003,0,1,10000,7277
3,2003,0,1,9000,7416
4,2003,0,1,9000,6390
5,2003,0,1,8000,5724
6,2003,0,1,8000,6402
7,2003,0,1,6000,6105
8,2003,0,1,6000,5745
9,2003,2,1,6000,5425
10,2003,4,1,6000,4867
11,2003,3,1,5000,3877
12,2003,3,1,4000,2567
13,2003,7,1,4000,1640
14,2003,2,1,3000,1146
15,2003,9,1,2000,888
16,2003,5,1,1000,560
17,2003,2,1,1000,384
1,2004,0,1,12000,6798
2,2004,0,1,10000,7148
3,2004,0,1,9000,7448
4,2004,0,1,9000,6527
5,2004,0,1,8000,5763
6,2004,0,1,8000,6385
7,2004,0,1,6000,6318
8,2004,0,1,6000,5742
9,2004,3,1,6000,5524
10,2004,4,1,6000,4926
11,2004,2,1,5000,4128
12,2004,3,1,4000,2707
13,2004,2,1,4000,1714
14,2004,7,1,3000,1188
15,2004,8,1,2000,894
16,2004,4,1,1000,602
17,2004,5,1,1000,413
1,2005,0,1,12000,6750
2,2005,0,1,10000,7020
3,2005,0,1,9000,7417
4,2005,0,1,9000,6700
5,2005,0,1,8000,5798
6,2005,0,1,8000,6357
7,2005,0,1,6000,6506
8,2005,0,1,6000,5783
9,2005,2,1,6000,5584
10,2005,5,1,6000,4986
11,2005,2,1,5000,4350
12,2005,4,1,4000,2879
13,2005,3,1,4000,1794
14,2005,1,1,3000,1239
15,2005,5,1,2000,895
16,2005,3,1,1000,638
17,2005,3,1,1000,445
1,2006,0,1,12000,6722
2,2006,0,1,10000,6903
3,2006,0,1,9000,7346
4,2006,0,1,9000,6873
5,2006,0,1,8000,5831
6,2006,0,1,8000,6346
7,2006,0,1,6000,6653
8,2006,2,1,6000,5890
9,2006,3,1,6000,5591
10,2006,3,1,6000,5064
11,2006,3,1,5000,4515
12,2006,10,1,4000,3092
13,2006,5,1,4000,1884
14,2006,6,1,3000,1291
15,2006,6,1,2000,901
16,2006,8,1,1000,663
17,2006,7,1,1000,484
1,2007,0,1,12000,6772
2,2007,0,1,10000,6797
3,2007,0,1,9000,7248
4,2007,0,1,9000,7005
5,2007,0,1,8000,5883
6,2007,0,1,8000,6369
7,2007,0,1,6000,6756
8,2007,0,1,6000,6039
9,2007,1,1,6000,5560
10,2007,1,1,6000,5161
11,2007,4,1,5000,4642
12,2007,2,1,4000,3314
13,2007,7,1,4000,1998
14,2007,3,1,3000,1340
15,2007,6,1,2000,912
16,2007,8,1,1000,676
17,2007,6,1,1000,526
1,2008,0,1,12000,6880
2,2008,0,1,10000,6704
3,2008,0,1,9000,7137
4,2008,0,1,9000,7075
5,2008,0,1,8000,5972
6,2008,0,1,8000,6415
7,2008,0,1,6000,6801
8,2008,0,1,6000,6228
9,2008,4,1,6000,5521
10,2008,2,1,6000,5274
11,2008,6,1,5000,4723
12,2008,6,1,4000,3545
13,2008,10,1,4000,2126
14,2008,8,1,3000,1388
15,2008,9,1,2000,938
16,2008,8,1,1000,680
17,2008,6,1,1000,572
1,2009,0,1,12000,7032
2,2009,0,1,10000,6605
3,2009,0,1,9000,7004
4,2009,0,1,9000,7099
5,2009,1,1,8000,6093
6,2009,0,1,8000,6466
7,2009,0,1,6000,6789
8,2009,1,1,6000,6438
9,2009,2,1,6000,5508
10,2009,3,1,6000,5367
11,2009,1,1,5000,4787
12,2009,6,1,4000,3774
13,2009,13,1,4000,2253
14,2009,7,1,3000,1446
15,2009,4,1,2000,970
16,2009,6,1,1000,674
17,2009,8,1,1000,617
1,2010,0,1,12000,7223
2,2010,0,1,10000,6516
3,2010,0,1,9000,6870
4,2010,0,1,9000,7070
5,2010,0,1,8000,6245
6,2010,0,1,8000,6512
7,2010,0,1,6000,6762
8,2010,0,1,6000,6622
9,2010,1,1,6000,5539
10,2010,3,1,6000,5421
11,2010,3,1,5000,4847
12,2010,5,1,4000,3975
13,2010,10,1,4000,2407
14,2010,4,1,3000,1507
15,2010,9,1,2000,1009
16,2010,4,1,1000,669
