AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
1,2003,0,0,12000,2082
2,2003,0,0,10000,2338
3,2003,0,0,9000,2609
4,2003,0,0,9000,2071
5,2003,0,0,8000,1591
6,2003,0,0,8000,1791
7,2003,0,0,6000,1758
8,2003,1,0,6000,1758
9,2003,3,0,6000,1732
10,2003,4,0,6000,1704
11,2003,3,0,5000,1404
12,2003,5,0,4000,1074
13,2003,9,0,4000,872
14,2003,4,0,3000,701
15,2003,14,0,2000,655
16,2003,6,0,1000,428
17,2003,3,0,1000,309
1,2004,0,0,12000,2066
2,2004,0,0,10000,2300
3,2004,0,0,9000,2598
4,2004,0,0,9000,2096
5,2004,0,0,8000,1583
6,2004,0,0,8000,1774
7,2004,0,0,6000,1798
8,2004,0,0,6000,1716
9,2004,4,0,6000,1736
10,2004,4,0,6000,1697
11,2004,4,0,5000,1464
12,2004,4,0,4000,1107
13,2004,3,0,4000,885
14,2004,13,0,3000,706
15,2004,17,0,2000,638
16,2004,7,0,1000,449
17,2004,9,0,1000,328
1,2005,0,0,12000,2052
2,2005,0,0,10000,2263
3,2005,0,0,9000,2563
4,2005,0,0,9000,2136
5,2005,0,0,8000,1578
6,2005,0,0,8000,1758
7,2005,0,0,6000,1835
8,2005,0,0,6000,1691
9,2005,3,0,6000,1726
10,2005,5,0,6000,1692
11,2005,3,0,5000,1518
12,2005,7,0,4000,1151
13,2005,5,0,4000,892
14,2005,7,0,3000,713
15,2005,9,0,2000,619
16,2005,7,0,1000,466
17,2005,7,0,1000,351
1,2006,0,0,12000,2044
2,2006,0,0,10000,2232
3,2006,0,0,9000,2517
4,2006,0,0,9000,2174
5,2006,0,0,8000,1574
6,2006,0,0,8000,1750
7,2006,0,0,6000,1859
8,2006,2,0,6000,1688
9,2006,7,0,6000,1696
10,2006,5,0,6000,1691
11,2006,3,0,5000,1553
12,2006,14,0,4000,1214
13,2006,11,0,4000,909
14,2006,9,0,3000,723
15,2006,12,0,2000,603
16,2006,11,0,1000,472
17,2006,14,0,1000,378
1,2007,0,0,12000,2064
2,2007,0,0,10000,2205
3,2007,0,0,9000,2462
4,2007,0,0,9000,2195
5,2007,0,0,8000,1575
6,2007,0,0,8000,1746
7,2007,0,0,6000,1872
8,2007,0,0,6000,1700
9,2007,1,0,6000,1656
10,2007,1,0,6000,1700
11,2007,9,0,5000,1572
12,2007,5,0,4000,1276
13,2007,11,0,4000,940
14,2007,5,0,3000,736
15,2007,8,0,2000,596
16,2007,9,0,1000,474
17,2007,15,0,1000,406
1,2008,0,0,12000,2099
2,2008,0,0,10000,2183
3,2008,0,0,9000,2403
4,2008,0,0,9000,2197
5,2008,0,0,8000,1590
6,2008,0,0,8000,1753
7,2008,0,0,6000,1872
8,2008,0,0,6000,1724
9,2008,4,0,6000,1621
10,2008,3,0,6000,1713
11,2008,7,0,5000,1578
12,2008,7,0,4000,1346
13,2008,14,0,4000,972
14,2008,14,0,3000,746
15,2008,12,0,2000,595
16,2008,14,0,1000,467
17,2008,9,0,1000,437
1,2009,0,0,12000,2150
2,2009,0,0,10000,2159
3,2009,0,0,9000,2339
4,2009,0,0,9000,2185
5,2009,1,0,8000,1613
6,2009,0,0,8000,1765
7,2009,0,0,6000,1856
8,2009,1,0,6000,1757
9,2009,2,0,6000,1589
10,2009,5,0,6000,1722
11,2009,5,0,5000,1577
12,2009,8,0,4000,1418
13,2009,16,0,4000,1003
14,2009,12,0,3000,759
15,2009,6,0,2000,596
16,2009,12,0,1000,457
17,2009,15,0,1000,470
1,2010,0,0,12000,2217
2,2010,0,0,10000,2138
3,2010,0,0,9000,2277
4,2010,0,0,9000,2157
5,2010,0,0,8000,1644
6,2010,0,0,8000,1774
7,2010,0,0,6000,1831
8,2010,0,0,6000,1781
9,2010,1,0,6000,1572
10,2010,3,0,6000,1715
11,2010,4,0,5000,1581
12,2010,5,0,4000,1477
13,2010,15,0,4000,1049
14,2010,6,0,3000,775
15,2010,9,0,2000,604
16,2010,7,0,1000,449
17,2010,11,0,1000,499
1,2011,0,0,12000,2271
2,2011,0,0,10000,2123
3,2011,0,0,9000,2220
4,2011,0,0,9000,2118
5,2011,0,0,8000,1681
6,2011,0,0,8000,1790
7,2011,0,0,6000,1819
8,2011,1,0,6000,1794
9,2011,0,0,6000,1577
10,2011,3,0,6000,1695
11,2011,10,0,5000,1593
12,2011,5,0,4000,1519
13,2011,4,0,4000,1113
14,2011,14,0,3000,794
15,2011,13,0,2000,611
16,2011,10,0,1000,439
17,2011,11,0,1000,526
1,2012,0,0,12000,2296
2,2012,0,0,10000,2135
3,2012,0,0,9000,2169
4,2012,0,0,9000,2072
5,2012,0,0,8000,1708
6,2012,0,0,8000,1811
7,2012,0,0,6000,1816
8,2012,0,0,6000,1797
9,2012,1,0,6000,1594
10,2012,6,0,6000,1660
11,2012,9,0,5000,1612
12,2012,10,0,4000,1545
13,2012,3,0,4000,1179
14,2012,4,0,3000,825
15,2012,13,0,2000,620
16,2012,12,0,1000,436
17,2012,17,0,1000,549
1,2013,0,0,12000,2311
2,2013,0,0,10000,2166
3,2013,0,0,9000,2118
4,2013,0,0,9000,2024
5,2013,0,0,8000,1727
6,2013,0,0,8000,1858
7,2013,0,0,6000,1828
8,2013,1,0,6000,1790
9,2013,0,0,6000,1626
10,2013,2,0,6000,1624
11,2013,9,0,5000,1630
12,2013,7,0,4000,1563
13,2013,7,0,4000,1246
14,2013,10,0,3000,860
15,2013,10,0,2000,628
