AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
1,2003,0,0,12000,44929
2,2003,0,0,10000,47489
3,2003,0,0,9000,48522
4,2003,2,0,9000,43675
5,2003,0,0,8000,43224
6,2003,1,0,8000,44877
7,2003,1,0,6000,40571
8,2003,1,0,6000,37587
9,2003,4,0,6000,36785
10,2003,6,0,6000,33024
11,2003,12,0,5000,26351
12,2003,25,0,4000,18418
13,2003,16,0,4000,13806
14,2003,18,0,3000,10691
15,2003,33,0,2000,9186
16,2003,15,0,1000,6176
17,2003,12,0,1000,4734
1,2004,0,0,12000,44609
2,2004,0,0,10000,46814
3,2004,0,0,9000,48857
4,2004,0,0,9000,44697
5,2004,0,0,8000,43585
6,2004,0,0,8000,44874
7,2004,0,0,6000,42097
8,2004,0,0,6000,37519
9,2004,2,0,6000,37529
10,2004,8,0,6000,33549
11,2004,10,0,5000,28033
12,2004,21,0,4000,19308
13,2004,32,0,4000,14211
14,2004,32,0,3000,10905
15,2004,25,0,2000,9088
16,2004,15,0,1000,6592
17,2004,17,0,1000,5066
1,2005,0,0,12000,44355
2,2005,0,0,10000,46158
3,2005,0,0,9000,48762
4,2005,0,0,9000,45992
5,2005,0,0,8000,43931
6,2005,1,0,8000,44778
7,2005,1,0,6000,43489
8,2005,0,0,6000,37775
9,2005,4,0,6000,37976
10,2005,5,0,6000,34055
11,2005,22,0,5000,29536
12,2005,21,0,4000,20411
13,2005,25,0,4000,14669
14,2005,25,0,3000,11183
15,2005,28,0,2000,8976
16,2005,18,0,1000,6923
17,2005,13,0,1000,5453
1,2006,0,0,12000,44219
2,2006,0,0,10000,45587
3,2006,0,0,9000,48398
4,2006,0,0,9000,47339
5,2006,0,0,8000,44291
6,2006,0,0,8000,44805
7,2006,1,0,6000,44617
8,2006,1,0,6000,38486
9,2006,3,0,6000,38027
10,2006,10,0,6000,34708
11,2006,13,0,5000,30623
12,2006,16,0,4000,21845
13,2006,32,0,4000,15201
14,2006,35,0,3000,11492
15,2006,30,0,2000,8890
16,2006,26,0,1000,7129
17,2006,25,0,1000,5896
1,2007,0,0,12000,44575
2,2007,0,0,10000,45105
3,2007,0,0,9000,47854
4,2007,0,0,9000,48394
5,2007,0,0,8000,44829
6,2007,0,0,8000,45042
7,2007,0,0,6000,45464
8,2007,0,0,6000,39529
9,2007,8,0,6000,37809
10,2007,13,0,6000,35493
11,2007,10,0,5000,31476
12,2007,26,0,4000,23341
13,2007,38,0,4000,15895
14,2007,34,0,3000,11776
15,2007,22,0,2000,8886
16,2007,15,0,1000,7229
17,2007,26,0,1000,6374
1,2008,0,0,12000,45335
2,2008,0,0,10000,44698
3,2008,0,0,9000,47222
4,2008,0,0,9000,49023
5,2008,0,0,8000,45675
6,2008,1,0,8000,45477
7,2008,0,0,6000,45935
8,2008,0,0,6000,40867
9,2008,2,0,6000,37550
10,2008,9,0,6000,36375
11,2008,10,0,5000,32062
12,2008,18,0,4000,24895
13,2008,18,0,4000,16680
14,2008,27,0,3000,12062
15,2008,30,0,2000,8979
16,2008,21,0,1000,7224
17,2008,28,0,1000,6880
1,2009,0,0,12000,46380
2,2009,0,0,10000,44238
3,2009,0,0,9000,46451
4,2009,0,0,9000,49294
5,2009,0,0,8000,46784
6,2009,0,0,8000,45959
7,2009,0,0,6000,45999
8,2009,1,0,6000,42393
9,2009,2,0,6000,37485
10,2009,1,0,6000,37116
11,2009,10,0,5000,32539
12,2009,23,0,4000,26467
13,2009,33,0,4000,17473
14,2009,21,0,3000,12382
15,2009,21,0,2000,9144
16,2009,27,0,1000,7147
17,2009,31,0,1000,7395
1,2010,0,0,12000,47689
2,2010,0,0,10000,43833
3,2010,0,0,9000,45695
4,2010,0,0,9000,49137
5,2010,0,0,8000,48148
6,2010,0,0,8000,46421
7,2010,0,0,6000,45960
8,2010,0,0,6000,43782
9,2010,0,0,6000,37747
10,2010,5,0,6000,37551
11,2010,16,0,5000,32996
12,2010,15,0,4000,27869
13,2010,29,0,4000,18460
14,2010,35,0,3000,12742
15,2010,32,0,2000,9362
16,2010,18,0,1000,7062
17,2010,26,0,1000,7877
1,2011,0,0,12000,48837
2,2011,0,0,10000,43562
3,2011,0,0,9000,45052
4,2011,0,0,9000,48753
5,2011,0,0,8000,49632
6,2011,0,0,8000,46980
7,2011,0,0,6000,46087
8,2011,1,0,6000,44947
9,2011,0,0,6000,38483
10,2011,8,0,6000,37610
11,2011,12,0,5000,33617
12,2011,21,0,4000,28875
13,2011,32,0,4000,19777
14,2011,33,0,3000,13182
15,2011,34,0,2000,9602
16,2011,20,0,1000,6996
17,2011,22,0,1000,8315
1,2012,0,0,12000,49329
2,2012,0,0,10000,43791
3,2012,0,0,9000,44499
4,2012,0,0,9000,48209
5,2012,0,0,8000,50864
6,2012,0,0,8000,47759
7,2012,1,0,6000,46437
8,2012,1,0,6000,45844
9,2012,2,0,6000,39553
10,2012,3,0,6000,37410
11,2012,5,0,5000,34366
12,2012,16,0,4000,29652
